0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:04:19 +0530] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:04:20 +0530] "GET /manager/html HTTP/1.1" 401 2550
0:0:0:0:0:0:0:1 - admin [03/Apr/2015:10:04:24 +0530] "GET /manager/html HTTP/1.1" 200 22741
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:04:30 +0530] "GET /Dynamic_Allocation/ HTTP/1.1" 500 2187
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:04:34 +0530] "GET /Dynamic_Allocation/ HTTP/1.1" 500 2187
0:0:0:0:0:0:0:1 - admin [03/Apr/2015:10:04:49 +0530] "GET /manager/html HTTP/1.1" 200 22741
0:0:0:0:0:0:0:1 - admin [03/Apr/2015:10:04:49 +0530] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [03/Apr/2015:10:04:49 +0530] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:04:52 +0530] "GET /Dynamic_Allocation/ HTTP/1.1" 500 2187
127.0.0.1 - admin [03/Apr/2015:10:05:48 +0530] "GET /manager/html HTTP/1.1" 200 22741
127.0.0.1 - admin [03/Apr/2015:10:05:48 +0530] "GET /manager/images/asf-logo.gif HTTP/1.1" 304 -
127.0.0.1 - admin [03/Apr/2015:10:05:48 +0530] "GET /manager/images/tomcat.gif HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/ HTTP/1.1" 200 1679
127.0.0.1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/CSS/style.css HTTP/1.1" 200 4984
127.0.0.1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/style.css HTTP/1.1" 200 2745
127.0.0.1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/CSS/demo.css HTTP/1.1" 200 3609
127.0.0.1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/CSS/font-awesome.css HTTP/1.1" 200 14608
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/js/modernizr.custom.63321.js HTTP/1.1" 200 9658
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/images/Home.png HTTP/1.1" 200 269350
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/images/numerology1.png HTTP/1.1" 200 67165
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:05:49 +0530] "GET /Dynamic_Allocation/images/encryption.png HTTP/1.1" 200 340728
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:05:50 +0530] "GET /Dynamic_Allocation/fonts/socialicons-webfont.woff HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:05:50 +0530] "GET /Dynamic_Allocation/fonts/socialicons-webfont.ttf HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:05:50 +0530] "GET /Dynamic_Allocation/images/3.jpg HTTP/1.1" 200 68502
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/ HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/js/modernizr.custom.63321.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/images/Home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/CSS/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/CSS/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/images/numerology1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/images/encryption.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:01 +0530] "GET /Dynamic_Allocation/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:18 +0530] "GET /Dynamic_Allocation/ HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:18 +0530] "GET /Dynamic_Allocation/js/modernizr.custom.63321.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:18 +0530] "GET /Dynamic_Allocation/images/Home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:18 +0530] "GET /Dynamic_Allocation/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:09:18 +0530] "GET /Dynamic_Allocation/style.css HTTP/1.1" 304 -
